rel_path,ext,format,subtype,channels,sample_rate,duration_sec,file_size_bytes,source_domain
Gyaase_Meeting_2nd_April_2024 (1021).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1022).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1023).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1024).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1025).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1026).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1027).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1028).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1029).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (103).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1030).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1031).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1032).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1033).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1034).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1035).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1036).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1037).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1038).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1039).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (104).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1040).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1041).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
Gyaase_Meeting_2nd_April_2024 (1042).wav,wav,WAV,PCM_16,2,44100,10,1764044,unknown
