file,output,skipped,ok,msg,pre_snr_db,post_snr_db,snr_improvement_db,spec_dist,method,params
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (28).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (28).aff45104.wav,FALSE,TRUE,ok,9.705669913,35.23194133,25.52627142,58.55184998,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (29).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (29).aff45104.wav,FALSE,TRUE,ok,4.726617757,17.00875248,12.28213472,64.56765004,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (3).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (3).aff45104.wav,FALSE,TRUE,ok,13.40326107,48.51645984,35.11319877,82.03844453,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (30).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (30).aff45104.wav,FALSE,TRUE,ok,8.096085892,23.41452037,15.31843448,60.20172636,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (31).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (31).aff45104.wav,FALSE,TRUE,ok,12.42844214,32.45061771,20.02217558,67.9987482,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (32).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (32).aff45104.wav,FALSE,TRUE,ok,6.104971203,18.54599821,12.44102701,56.56195156,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (33).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (33).aff45104.wav,FALSE,TRUE,ok,19.96954928,46.78939202,26.81984275,75.73516681,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (34).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (34).aff45104.wav,FALSE,TRUE,ok,13.60467972,38.06634569,24.46166597,71.79904589,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (35).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (35).aff45104.wav,FALSE,TRUE,ok,9.559461099,37.62279671,28.06333561,72.67327442,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
C:\Users\Dawson\Desktop\Splitted Audio Files\Ghana_immigration_service_vs_mpentuase (36).wav,C:\Users\Dawson\Desktop\Cleaned Audio\Ghana_immigration_service_vs_mpentuase (36).aff45104.wav,FALSE,TRUE,ok,15.53443831,50.39726116,34.86282286,76.87761648,spectral_gate,"{""method"": ""spectral_gate"", ""params"": {}, ""chunked"": true, ""chunk_dur_s"": 10.0, ""chunk_overlap_s"": 0.2, ""normalize"": ""lufs"", ""target_dbfs"": -1.0, ""target_lufs"": -23.0, ""writer_subtype"": ""PCM_16""}"
